"場次","日期","班級","題組","組別","學號","題號","次數","問句","答句","結果","提交時間"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","5","09201 09202","6","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","5","09201 09202","7","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","6","09701 09702 09703","1","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:45.824Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","6","09701 09702 09703","2","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","6","09701 09702 09703","3","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","6","09701 09702 09703","4","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","6","09701 09702 09703","5","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","6","09701 09702 09703","6","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","6","09701 09702 09703","7","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","1","1","She's she?","Who's my sister.","錯誤","2026-09-15T02:36:34.208Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","1","2","She's she?","Who's my sister.","錯誤","2026-09-15T02:36:35.902Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","1","3","She's she?","Who's my sister.","錯誤","2026-09-15T02:36:37.602Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","1","4","She's she?","Who's my sister.","錯誤","2026-09-15T02:36:39.375Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","1","5","She's she?","Who's my sister.","錯誤","2026-09-15T02:36:41.123Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","2","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","3","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","4","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","5","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","6","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","7","09101 09102 09103","7","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","8","09601 09602","1","1","Who's she?","She's my sister.","正確","2026-09-15T02:36:45.489Z"
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","8","09601 09602","2","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","8","09601 09602","3","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","8","09601 09602","4","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","8","09601 09602","5","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","8","09601 09602","6","0","","","未作答",""
"A984F652B2381CA3","2026-09-15T02:36:24.357Z","QA 8組即時驗證","家人句型｜七題示範","8","09601 09602","7","0","","","未作答",""
