book_id,book_label,book_order,unit_id,unit_label,unit_order,topic_id,topic_dir,source_file,theme,en,zh,emoji,question,answer,image,audio,speech_aliases,audio_alternates,source_image,source_audio
"SF3","SF3",1,"L02","Lesson 2",2,"SF3 L02","sf3-l02","單字資料/SF3/Lesson 02.png","cyan","doctor","醫生","🧑‍⚕️","Is he a doctor?","No, he isn't. He's a teacher.","doctor.jpg","doctor.mp3","","","單字資料/SF3/L2/07_adoctor圖.jpg","單字資料/SF3/L2/07_adoctor圖.mp3|單字資料/SF3/L2/08_adoctor字.mp3"
"SF3","SF3",1,"L02","Lesson 2",2,"SF3 L02","sf3-l02","單字資料/SF3/Lesson 02.png","cyan","nurse","護理師；護士","👩‍⚕️","Is she a nurse?","No, she isn't. She's a doctor.","nurse.jpg","nurse.mp3","","","單字資料/SF3/L2/09_anurse圖.jpg","單字資料/SF3/L2/09_anurse圖.mp3|單字資料/SF3/L2/10_anurse字.mp3"
"SF3","SF3",1,"L02","Lesson 2",2,"SF3 L02","sf3-l02","單字資料/SF3/Lesson 02.png","cyan","farmer","農夫","🧑‍🌾","Is he a farmer?","Yes, he is. He's a farmer.","farmer.jpg","farmer.mp3","","","單字資料/SF3/L2/11_afarmer圖.jpg","單字資料/SF3/L2/11_afarmer圖.mp3|單字資料/SF3/L2/12_afarmer字.mp3"
"SF3","SF3",1,"L02","Lesson 2",2,"SF3 L02","sf3-l02","單字資料/SF3/Lesson 02.png","cyan","driver","司機","🚗","Is she a driver?","No, she isn't. She's a nurse.","driver.jpg","driver.mp3","","","單字資料/SF3/L2/11_adriver圖.jpg","單字資料/SF3/L2/11_adriver圖.mp3|單字資料/SF3/L2/12_adriver字.mp3"
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","bathroom","浴室；廁所","🚿","Where's Dad?","He's in the bathroom.","bathroom.jpg","bathroom.mp3","","","單字資料/SF3/L3/01_bathroom圖.jpg","單字資料/SF3/L3/01_bathroom圖.mp3|單字資料/SF3/L3/02_bathroom字.mp3"
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","bedroom","臥室","🛏️","Where's Mom?","She's in the bedroom.","bedroom.jpg","bedroom.mp3","","","單字資料/SF3/L3/03_bedroom圖.jpg","單字資料/SF3/L3/03_bedroom圖.mp3|單字資料/SF3/L3/04_bedroom字.mp3"
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","kitchen","廚房","🍳","Where's Grandpa?","He's in the kitchen.","kitchen.jpg","kitchen.mp3","","","單字資料/SF3/L3/05_kitchen圖.jpg","單字資料/SF3/L3/05_kitchen圖.mp3|單字資料/SF3/L3/06_kitchen字.mp3"
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","dining room","飯廳","🍽️","Where's Wendy?","She's in the dining room.","dining-room.jpg","dining-room.mp3","","","單字資料/SF3/L3/07_diningroom圖.jpg","單字資料/SF3/L3/07_diningroom圖.mp3|單字資料/SF3/L3/08_diningroom字.mp3"
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","living room","客廳","🛋️","Where's Ken?","He's in the living room.","living-room.jpg","living-room.mp3","","","單字資料/SF3/L3/09_livingroom圖.jpg","單字資料/SF3/L3/09_livingroom圖.mp3|單字資料/SF3/L3/10_livingroom字.mp3"
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","yard","庭院","🌳","Where are you?","I'm in the yard.","yard.jpg","yard.mp3","","","單字資料/SF3/L3/07_ayard圖.jpg","單字資料/SF3/L3/07_ayard圖.mp3|單字資料/SF3/L3/08_ayard字.mp3"
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","study","書房","📚","Where's the teacher?","She's in the study.","study.jpg","","","","",""
"SF3","SF3",1,"L03","Lesson 3",3,"SF3 L03","sf3-l03","單字資料/SF3/Lesson 03.png","lime","where","哪裡","📍","Where's the student?","He's in the bedroom.","where.jpg","","","","",""
"SF3","SF3",1,"L04","Lesson 4",4,"SF3 L04","sf3-l04","單字資料/SF3/Lesson 04.png","violet","bird","鳥","🐦","Do you have a bird?","Yes, I do. I have a bird.","bird.jpg","bird.mp3","","","單字資料/SF3/L4/01_abird圖.jpg","單字資料/SF3/L4/01_abird圖.mp3|單字資料/SF3/L4/02_abird字.mp3"
"SF3","SF3",1,"L04","Lesson 4",4,"SF3 L04","sf3-l04","單字資料/SF3/Lesson 04.png","violet","rabbit","兔子","🐇","Do you have a rabbit?","No, I don't. I have a turtle.","rabbit.jpg","rabbit.mp3","","","單字資料/SF3/L4/03_arabbit圖.jpg","單字資料/SF3/L4/03_arabbit圖.mp3|單字資料/SF3/L4/04_arabbit字.mp3"
"SF3","SF3",1,"L04","Lesson 4",4,"SF3 L04","sf3-l04","單字資料/SF3/Lesson 04.png","violet","turtle","烏龜","🐢","Do you have a turtle?","Yes, I do. I have a turtle.","turtle.jpg","turtle.mp3","","","單字資料/SF3/L4/05_aturtle圖.jpg","單字資料/SF3/L4/05_aturtle圖.mp3|單字資料/SF3/L4/06_aturtle字.mp3"
"SF3","SF3",1,"L04","Lesson 4",4,"SF3 L04","sf3-l04","單字資料/SF3/Lesson 04.png","violet","cat","貓","🐈","Do you have a cat?","No, I don't. I have a dog.","cat.jpg","cat.mp3","","","單字資料/SF3/L4/07_acat圖.jpg","單字資料/SF3/L4/07_acat圖.mp3|單字資料/SF3/L4/08_acat字.mp3"
"SF3","SF3",1,"L04","Lesson 4",4,"SF3 L04","sf3-l04","單字資料/SF3/Lesson 04.png","violet","frog","青蛙","🐸","Do you have a frog?","Yes, I do. I have a frog.","frog.jpg","frog.mp3","","","單字資料/SF3/L4/07_afrog圖.jpg","單字資料/SF3/L4/07_afrog圖.mp3|單字資料/SF3/L4/08_afrog字.mp3"
"SF3","SF3",1,"L04","Lesson 4",4,"SF3 L04","sf3-l04","單字資料/SF3/Lesson 04.png","violet","dog","狗","🐕","Do you have a dog?","No, I don't. I have a fish.","dog.jpg","dog.mp3","","","單字資料/SF3/L4/09_adog圖.jpg","單字資料/SF3/L4/09_adog圖.mp3|單字資料/SF3/L4/10_adog字.mp3"
"SF3","SF3",1,"L04","Lesson 4",4,"SF3 L04","sf3-l04","單字資料/SF3/Lesson 04.png","violet","fish","魚","🐟","Do you have a fish?","No, I don't. I have a bird.","fish.jpg","fish.mp3","","","單字資料/SF3/L4/11_afish圖.jpg","單字資料/SF3/L4/11_afish圖.mp3|單字資料/SF3/L4/12_afish字.mp3"
"SF4","SF4",2,"L01","Lesson 1",1,"SF4 L01","sf4-l01","單字資料/SF4/SF4 Lesson 01.png","amber","yo-yos","溜溜球（複數）","🪀","What are those?","They're yo-yos.","yo-yos.jpg","yo-yos.mp3","","","單字資料/SF4/L1/01_yoyos圖.jpg","單字資料/SF4/L1/01_yoyos圖.mp3|單字資料/SF4/L1/01_yoyos字.mp3"
"SF4","SF4",2,"L01","Lesson 1",1,"SF4 L01","sf4-l01","單字資料/SF4/SF4 Lesson 01.png","amber","kites","風箏（複數）","🪁","What are these?","They're kites.","kites.jpg","kites.mp3","","","單字資料/SF4/L1/02_kites圖.jpg","單字資料/SF4/L1/02_kites圖.mp3|單字資料/SF4/L1/02_kites字.mp3"
"SF4","SF4",2,"L01","Lesson 1",1,"SF4 L01","sf4-l01","單字資料/SF4/SF4 Lesson 01.png","amber","dolls","洋娃娃（複數）","🪆","What are those, Wendy?","They're dolls.","dolls.jpg","dolls.mp3","","","單字資料/SF4/L1/03_dolls圖.jpg","單字資料/SF4/L1/03_dolls圖.mp3|單字資料/SF4/L1/03_dolls字.mp3"
"SF4","SF4",2,"L01","Lesson 1",1,"SF4 L01","sf4-l01","單字資料/SF4/SF4 Lesson 01.png","amber","balls","球（複數）","⚽","What are these, Ken?","They're balls.","balls.jpg","balls.mp3","","","單字資料/SF4/L1/04_balls圖.jpg","單字資料/SF4/L1/04_balls圖.mp3|單字資料/SF4/L1/04_balls字.mp3"
"SF4","SF4",2,"L01","Lesson 1",1,"SF4 L01","sf4-l01","單字資料/SF4/SF4 Lesson 01.png","amber","robots","機器人（複數）","🤖","What are those, Dad?","They're robots.","robots.jpg","robots.mp3","","","單字資料/SF4/L1/05_robots圖.jpg","單字資料/SF4/L1/05_robots圖.mp3|單字資料/SF4/L1/05_robots字.mp3"
"SF4","SF4",2,"L01","Lesson 1",1,"SF4 L01","sf4-l01","單字資料/SF4/SF4 Lesson 01.png","amber","these","這些","👇","What are these, Mom?","They're my yo-yos.","these.jpg","","","","",""
"SF4","SF4",2,"L01","Lesson 1",1,"SF4 L01","sf4-l01","單字資料/SF4/SF4 Lesson 01.png","amber","those","那些","👉","What are those, Grandpa?","They're your kites.","those.jpg","","","","",""
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","box","箱子；盒子","📦","Where's the ball?","It's in the box.","box.jpg","box.mp3","","","單字資料/SF4/L2/01_box圖.jpg","單字資料/SF4/L2/01_box圖.mp3|單字資料/SF4/L2/01_box字.mp3"
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","desk","書桌","🪑","Where's the yo-yo?","It's on the desk.","desk.jpg","desk.mp3","","","單字資料/SF4/L2/02_desk圖.jpg","單字資料/SF4/L2/02_desk圖.mp3|單字資料/SF4/L2/02_desk字.mp3"
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","chair","椅子","💺","Where's the robot?","It's under the chair.","chair.jpg","chair.mp3","","","單字資料/SF4/L2/03_chair圖.jpg","單字資料/SF4/L2/03_chair圖.mp3|單字資料/SF4/L2/03_chair字.mp3"
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","table","桌子","🪑","Where's the kite?","It's on the table.","table.jpg","","","","",""
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","bag","袋子","👜","Where's the doll?","It's in the bag.","bag.jpg","","","","",""
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","in","在……裡面","📥","Where are the yo-yos?","They're in the box.","in.jpg","in.mp3","","","單字資料/SF4/L2/04_in圖.jpg","單字資料/SF4/L2/04_in圖.mp3|單字資料/SF4/L2/04_in字.mp3"
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","on","在……上面","⬆️","Where are the dolls?","They're on the table.","on.jpg","on.mp3","","","單字資料/SF4/L2/05_on圖.jpg","單字資料/SF4/L2/05_on圖.mp3|單字資料/SF4/L2/05_on字.mp3"
"SF4","SF4",2,"L02","Lesson 2",2,"SF4 L02","sf4-l02","單字資料/SF4/SF4 Lesson 02.png","fuchsia","under","在……下面","⬇️","Where are the balls?","They're under the desk.","under.jpg","under.mp3","","","單字資料/SF4/L2/06_under圖.jpg","單字資料/SF4/L2/06_under圖.mp3|單字資料/SF4/L2/06_under字.mp3"
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","eleven","十一","🔢","What time is it?","It's eleven o'clock.","eleven.jpg","eleven.mp3","","","單字資料/SF4/L3/01_eleven圖.jpg","單字資料/SF4/L3/01_eleven圖.mp3|單字資料/SF4/L3/01_eleven字.mp3"
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","twelve","十二","🔢","What time is it, Mom?","It's twelve o'clock.","twelve.jpg","twelve.mp3","","","單字資料/SF4/L3/02_twelve圖.jpg","單字資料/SF4/L3/02_twelve圖.mp3|單字資料/SF4/L3/02_twelve字.mp3"
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","twenty","二十","🔢","What time is it, Ken?","It's three twenty.","twenty.jpg","twenty.mp3","","","單字資料/SF4/L3/03_twenty圖.jpg","單字資料/SF4/L3/03_twenty圖.mp3|單字資料/SF4/L3/03_twenty字.mp3"
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","thirty","三十","🔢","What time is it now?","It's seven thirty.","thirty.jpg","thirty.mp3","","","單字資料/SF4/L3/04_thirty圖.jpg","單字資料/SF4/L3/04_thirty圖.mp3|單字資料/SF4/L3/04_thirty字.mp3"
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","forty","四十","🔢","What time is it, Dad?","It's six forty.","forty.jpg","forty.mp3","","","單字資料/SF4/L3/05_forty圖.jpg","單字資料/SF4/L3/05_forty圖.mp3|單字資料/SF4/L3/05_forty字.mp3"
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","forty-five","45","🕢","What time is it, Wendy?","It's nine forty-five.","forty-five.jpg","","","","",""
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","fifty","50","🕗","What time is it, Grandpa?","It's five fifty.","fifty.jpg","","","","",""
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","fifty-five","五十五","🔢","What time is it, Grandma?","It's two fifty-five.","fifty-five.jpg","fifty-five.mp3","","","單字資料/SF4/L3/06_fiftyfive圖.jpg","單字資料/SF4/L3/06_fiftyfive圖.mp3|單字資料/SF4/L3/06_fiftyfive字.mp3"
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","what time","幾點","⏰","What time is it, Ben?","It's four o'clock.","what-time.jpg","","","","",""
"SF4","SF4",2,"L03","Lesson 3",3,"SF4 L03","sf4-l03","單字資料/SF4/SF4 Lesson 03.png","sky","o'clock","……點鐘","🕖","What time is it, Ann?","It's eight o'clock.","oclock.jpg","","","","",""
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","cake","蛋糕","🍰","Do you like cake?","No, I don't. I like ice cream.","cake.jpg","cake.mp3","","","單字資料/SF4/L4/01_cake圖.jpg","單字資料/SF4/L4/01_cake圖.mp3|單字資料/SF4/L4/01_cake字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","ice cream","冰淇淋","🍨","Do you like ice cream?","Yes, I do. I like ice cream.","ice-cream.jpg","ice-cream.mp3","","","單字資料/SF4/L4/02_icecream圖.jpg","單字資料/SF4/L4/02_icecream圖.mp3|單字資料/SF4/L4/02_icecream字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","rice","米飯","🍚","Do you like rice?","No, I don't. I like pizza.","rice.jpg","rice.mp3","","","單字資料/SF4/L4/02_rice圖.jpg","單字資料/SF4/L4/02_rice圖.mp3|單字資料/SF4/L4/02_rice字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","milk","牛奶","🥛","Do you like milk?","Yes, I do. I like milk.","milk.jpg","milk.mp3","","","單字資料/SF4/L4/03_milk圖.jpg","單字資料/SF4/L4/03_milk圖.mp3|單字資料/SF4/L4/03_milk字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","juice","果汁","🧃","Do you like juice?","No, I don't. I like tea.","juice.jpg","juice.mp3","","","單字資料/SF4/L4/04_juice圖.jpg","單字資料/SF4/L4/04_juice圖.mp3|單字資料/SF4/L4/04_juice字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","tea","茶","🍵","Do you like tea?","No, I don't. I like water.","tea.jpg","tea.mp3","","","單字資料/SF4/L4/04_tea圖.jpg","單字資料/SF4/L4/04_tea圖.mp3|單字資料/SF4/L4/04_tea字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","water","水","💧","Do you like water?","Yes, I do. I like water.","water.jpg","water.mp3","","","單字資料/SF4/L4/05_water圖.jpg","單字資料/SF4/L4/05_water圖.mp3|單字資料/SF4/L4/05_water字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","pizza","披薩","🍕","Do you like pizza?","Yes, I do. I like pizza.","pizza.jpg","pizza.mp3","","","單字資料/SF4/L4/06_pizza圖.jpg","單字資料/SF4/L4/06_pizza圖.mp3|單字資料/SF4/L4/06_pizza字.mp3"
"SF4","SF4",2,"L04","Lesson 4",4,"SF4 L04","sf4-l04","單字資料/SF4/SF4 Lesson 04.png","emerald","like","喜歡","❤️","Do you like robots?","Yes, I do. I like robots.","like.jpg","","","","",""
