### TABLE 1 28x11
1	教材版本	何嘉仁 Super Fun 1	實施年級 (班級/組別)	三年級	教學節數	每週( 1 )節。
2	課程目標	能聽、說、讀、寫字母 Aa-Zz，並熟悉其發音與基本的字母拼讀規則。 能聽辨、唸讀生活用語及教室用語，連結生活情境，培養基本對話能力。 能聽辨、唸讀各單元的單字與句型，了解使用情境及語意，並應用於日常生活溝通。 能夠使用適當的英語學習策略，強化自主學習能力。 能夠與團隊合作，從雙向互動與討論的過程中，提升思辨與解決問題的能力。 能認識臺灣及其他國家的風俗文化，實現自我認同與尊重他人。
3	領域核心素養	 英-E-A1： 具備認真專注的特質及良好的學習習慣，嘗試運用基本的學習策略，強化個人英語文能力。  英-E-A2： 具備理解簡易英語文訊息的能力，能運用基本邏輯思考策略提升學習效能。  英-E-B1： 具備入門的聽、說、讀、寫英語文能力。在引導下，能運用所學、字詞及句型進行簡易日常溝通。  英-E-C2： 積極參與課內英語文小組學習活動，培養團隊合作精神。
4	議題融入	 閱讀素養教育： 閱 E1 認識字詞彙、閱 E7 發展詮釋文本能力、閱 E12 培養閱讀態度。  品德教育： 品 E3 溝通合作與和諧人際關係。  人權教育： 人 E5 欣賞、包容個別差異並尊重自己與他人的權利。  國際教育： 國 E1 了解我國與世界其他國家的文化特質。  性別平等教育： 性 E3 覺察性別角色的刻板印象（於 Topic 2 強化）。  交通安全教育： 交 E1 了解人、車、路的基本關係（於導學與校外活動週強化）。
5	課 程 架 構
6	教學進度 (週次)	教學單元名稱	學習重點	學習目標	學習活動	評量方式	融入議題 內容重點
24	17	Festival: Christmas	8-Ⅱ-3, 5-Ⅱ-3, 6-Ⅱ-2	C-Ⅱ-2, Ac-Ⅱ-2	認識聖誕習俗與用語；理解跨文化多元意涵。	1.聖誕故事角色扮演。 2.創意七巧板聖誕樹設計。 3.節慶歌謠唱遊。	活動、觀察、紙筆	【國際】多元文化尊重
25	18	L4: Are You Happy? (2)	4-Ⅱ-3, 5-Ⅱ-3, 6-Ⅱ-1	B-Ⅱ-1, 綜合 Ad-Ⅱ-1	學習覺察與處理負面情緒；理解非語言訊息。	1.情緒處理方案討論。 2.心情訪談紀錄活動。 3.完成習作 L4 讀寫。	紙筆、口語、活動	【交安】情緒穩定安全
26	19	Review 2	1-Ⅱ-4, 2-Ⅱ-6, 5-Ⅱ-3	Ac-Ⅱ-1, B-Ⅱ-1	整合特徵與情緒表達；練習短文資訊擷取。	1.介紹朋友外型與心情統整。 2.吟唱 Tall and Short 複習歌謠。	口語、活動、紙筆	【閱讀】資訊獲得能力
27	20	Final Review 成果發表	1-Ⅱ-6, 2-Ⅱ-6, 5-Ⅱ-3	Ac-Ⅱ-3, B-Ⅱ-1	整合全學期字母、單字與句型；成果展演。	1.讀者劇場分組發表。 2.期末測驗。 3.數位成果影片紀錄。	活動、口語、紙筆	【數位】數位展演影片
28	21	休業式	

### TABLE 2 28x14
1	教材版本	何嘉仁版 Super Fun 2	實施年級 (班級/組別)	三年級	教學節數	每週( 1 )節。
2	課程目標	能聽辨短母音音組，並運用拼讀規則唸讀與書寫單字。 能聽辨、唸讀生活與教室用語，並應用於日常生活溝通。 能聽辨、唸讀與書寫各單元單字與句型，了解使用情境與語意。 能夠使用適當的英語學習策略，強化自主學習與團隊合作能力。 認識臺灣及他國風俗文化，實現自我認同與尊重他人。
3		領域核心素養	英-E-A1： 具備認真專注的特質及良好的學習習慣，強化個人英語文能力。 英-E-A2： 具備理解簡易英語文訊息的能力，能運用基本邏輯思考策略提升學習效能。 英-E-B1： 具備入門的聽、說、讀、寫英語文能力。在引導下，能運用所學、字詞及句型進行簡易日常溝通。 英-E-C2： 積極參與課內英語文小組學習活動，培養團隊合作精神。
4	議題融入	閱讀素養教育（核心）： 透過故事與短文擷取資訊，培養理解與反思能力。 性別平等教育： 在分組活動、角色扮演及「顏色/能力」教學中，打破性別刻板印象，強調尊重差異。 交通安全教育： 結合物品教學（如攜帶學用品過馬路）與動作動詞（如 run, jump），宣導「過馬路不奔跑、不分心」及認識交通號誌。
5	課 程 架 構
6	教學進度 (週次)	教學單元名稱	學習重點	學習目標	學習活動	評量方式	融入議題 內容重點
7	教學進度 (週次)	教學單元名稱	學習表現	學習內容	學習目標	學習活動	評量方式	融入議題 內容重點
8	1	Phonics Fun 1 (-ap / -op)	1-Ⅱ-2, 2-Ⅱ-2, 4-Ⅱ-1	Aa-Ⅱ-1, Ab-Ⅱ-1	能辨識並拼讀 -ap, -op 發音組合。	1. 字母發音：引導 a, o 短母音發音。 2. 拼讀練習：操作 map, mop 字彙拼讀。 3. 韻文吟唱：搭配電子書律動與節奏練習。 4. 習作練習：完成聽力辨識檢核。	觀察、口語、紙筆	【閱讀素養】認識生活基礎詞彙。
9	2	Phonics Fun 2 (-ag / -ug)	1-Ⅱ-2, 2-Ⅱ-2, 4-Ⅱ-1	Aa-Ⅱ-1, Ab-Ⅱ-1	能辨識並拼讀 -ag, -ug 發音組合。	1. 單字拼讀：練習 bag, bug 拼讀與認讀。 2. 音組辨析：進行發音字例辨析活動。 3. 數位互動：隨機指認電子書代表字。 4. 習作練習：完成單元聽力測驗。	觀察、口語、活動	【性別平等】在活動分組中落實性別平等互助。
10	3	Lesson 1 What’s This? (單字)	1-Ⅱ-7, 2-Ⅱ-3, 3-Ⅱ-2	Ab-Ⅱ-1, B-Ⅱ-1	能聽辨並說出文具單字(pen, pencil, ruler, book, eraser)。	1. 情境討論：觀察圖片預測故事情節。 2. 動畫導讀：觀賞故事動畫並回答提問。 3. 句型練習：逐句跟讀並練習課堂用語。 4. 跨科結合：科學領域彩虹實驗討論。	觀察、口語、活動	【生命教育】愛惜學習用具。
11	4	Lesson 1 What’s This? (對話)	1-Ⅱ-4, 2-Ⅱ-6, 5-Ⅱ-3	B-Ⅱ-1	能運用 What’s this? It’s a... 句型詢問物品。	1. 讀者劇場：分組進行角色扮演與對話。 2. 情緒表達：練習不同語氣與表情朗讀。 3. 圖意配對：練習 It's... 顏色描述句型。 4. 習作練習：完成故事讀寫練習。	觀察、口語、口試	【交通安全】提醒上學途中攜帶學用品時要注意道路安全。
12	5	Lesson 2 What Color Is It? (單字)	1-Ⅱ-7, 2-Ⅱ-3, 3-Ⅱ-2	Ab-Ⅱ-1	能認讀基本顏色單字(red, yellow, blue, green, white)。	1. 單字認讀：學習 pen, pencil, ruler 等詞彙。 2. 句型應用：練習 What's this/that? 問答。 3. 趣味猜謎：利用局部圖卡進行物品猜答。 4. 指令操作：依照教師指令指認文具。	觀察、活動、口語	【性別平等】打破顏色性別刻板印象。
13	6	Lesson 2 What Color Is It? (對話)	1-Ⅱ-6, 2-Ⅱ-6, 5-Ⅱ-3	B-Ⅱ-1	能使用 What color is it? It’s... 詢問物品顏色。	1. 語法分類：辨析 a/an 冠詞之用法。 2. 拼句競賽：利用字條拼出完整主句型。 3. 實物互動：運用教室文具進行真實溝通。 4. 習作練習：完成文具主題讀寫檢核。	觀察、口語、活動	【安全教育】認識交通號誌顏色(紅黃綠)之意涵。
14	7	Review 1 & Mother’s Day	2-Ⅱ-6, 6-Ⅱ-2	B-Ⅱ-1	複習 L1-L2 內容並學習節慶祝福。	1. 單字學習：認讀 red, yellow, blue 等單字。 2. 辨析活動：進行顏色與字義干擾辨識遊戲。 3. 句型練習：運用 What color is it? 詢問。 4. 選色挑戰：快速尋找教室內對應顏色物。	活動、紙筆、口語	【家庭教育】感念父母辛勞。
15	8	期中評量預備與複習	1-Ⅱ-9, 4-Ⅱ-1	B-Ⅱ-1	統整前半學期所學並進行自我檢核。	1. 蔬果描述：運用顏色單字描述水果特徵。 2. 創意設計：規劃彩虹果汁並口頭發表。 3. 聽音檢核：聽取錄音進行排序活動。 4. 習作練習：完成顏色單元複習。	觀察、紙筆、數位	【閱讀素養】強化圖文辨識能力。
16	9	期中定期評量	1-Ⅱ, 2-Ⅱ, 3-Ⅱ, 4-Ⅱ	全	檢核聽說讀寫各項學習目標。	1. 短文閱讀：閱讀複習短文並擷取資訊。 2. 成果分享：分享個人喜好的物品與顏色。 3. 歌曲教唱：學習 What's This? 主題歌謠。 4. 綜合評量：檢測前兩單元學習成效。	定期評量、口試	無
17	10	Phonics Fun 3 (-et / -it)	1-Ⅱ-2, 2-Ⅱ-2, 4-Ⅱ-1	Aa-Ⅱ-1, Ab-Ⅱ-1	能辨識並拼讀 -et, -it 發音組合。	1. 朗讀競賽：分組進行故事朗讀限時挑戰。 2. 單字搶答：利用電子書閃示卡進行競賽。 3. 糾錯練習：訂正習作並複習易錯知識點。 4. 數位檢測：操作線上互動題庫進行自我評量。	觀察、口語、活動	【交通安全】結合 jet 說明航空安全知識。
18	11	Phonics Fun 4 (-ix / -ox)	1-Ⅱ-2, 2-Ⅱ-2, 4-Ⅱ-1	Aa-Ⅱ-1, Ab-Ⅱ-1	能辨識並拼讀 -ix, -ox 發音組合。	1. 發音對比：區別 pet, pit 等短母音差異。 2. 字首練習：結合不同子音進行組合拼讀。 3. 韻文律動：配合節奏進行吟唱與肢體動作。 4. 習作練習：完成發音聽寫練習。	觀察、紙筆、口語	【閱讀素養】培養看字讀音能力。
19	12	Lesson 3 Is It a Bear? (單字)	1-Ⅱ-7, 2-Ⅱ-3, 3-Ⅱ-2	Ab-Ⅱ-1	能認讀動物單字(bear, cat, dog, bird, elephant)。	1. 拼讀演練：操作 fix, fox 單字拼讀流程。 2. 音組挑戰：聽取發音字例並圈選正確項。 3. 聽力辨識：進行電子書互動發音測驗。 4. 習作練習：完成聽力辨析。	觀察、活動、口語	【生命教育】認識並愛護動物。
20	13	Lesson 3 Is It a Bear? (對話)	1-Ⅱ-4, 2-Ⅱ-6, 5-Ⅱ-3	B-Ⅱ-1	能運用 Is it a...? Yes, it is. / No, it isn’t. 句型。	1. 文化介紹：了解母親節由來與各國習俗。 2. 感恩表達：練習節慶祝賀語與感謝句型。 3. 創意製作：製作節慶卡片與家譜紀錄。 4. 歌謠傳唱：學習節慶歌曲與律動表演。	觀察、口語、活動	【性別平等】分組活動中不分男女共同完成任務。
21	14	Lesson 4 Can You Sing? (動作單字)	1-Ⅱ-7, 2-Ⅱ-3, 3-Ⅱ-2	Ab-Ⅱ-1	能聽辨並說出動作詞(sing, dance, jump, run, draw)。	1. 動畫賞析：觀看動畫並標記關鍵資訊。 2. 對話導讀：學習能力描述相關對話情境。 3. 理解檢測：依故事內容進行是非題判斷。 4. 角色對讀：分組進行人物台詞跟讀練習。	觀察、活動、口語	【安全教育】提醒在校園走廊不可 run 與 jump 以策安全。
22	15	Lesson 4 Can You Sing? (句型)	1-Ⅱ-6, 2-Ⅱ-6, 5-Ⅱ-3	B-Ⅱ-1	能運用 Can you...? Yes, I can. / No, I can’t. 句型。	1. 單字認讀：辨識 bear, cat, dog 等動物詞彙。 2. 句型猜謎：練習 Is it a...? 封閉式問答。 3. 聽音模仿：辨識動物鳴叫聲並說出英文。 4. 單字閃示：利用電子書工具進行認讀競賽。	觀察、活動、紙筆	【性別平等】打破運動與性別的偏見(如女生也能踢球、男生也能跳舞)。
23	16	Review 2 & Culture	1-Ⅱ-7, 2-Ⅱ-2, 5-Ⅱ-3	Ab-Ⅱ-4	複習 L3-L4 並認識異國文化。	1. 文法應用：學習 am/are/is 人稱搭配用法。 2. 七巧板遊戲：利用拼圖描述動物形態。 3. 猜謎活動：透過模仿動作讓同學猜測動物。 4. 習作練習：完成動物主題讀寫練習。	活動、口語、觀察	【國際教育】了解並尊重異國文化差異。
24	17	Final Review 成果準備	2-Ⅱ-6, 6-Ⅱ-2	B-Ⅱ-1	準備期末口語發表內容。	1. 單字認讀：辨識 sing, dance, run, jump, draw。 2. 肢體反應：進行 TPR 動作指令聽音辨位。 3. 能力調查：訪問同學會做的動作並記錄。 4. 句型問答：練習 Can you...? 問答句型。	觀察、口語、活動	【閱讀素養】反思、評鑑文本能力。
25	18	期末評量預備與複習	1-Ⅱ-9, 4-Ⅱ-1	全	全面複習本學期所有重點單字與句型。	1. 特徵描述：學習結合動物與能力的描述。 2. 知識探索：討論動物具備的自然生存本領。 3. 排序挑戰：聽取描述並完成情境排序。 4. 習作練習：完成能力單元總結。	數位、紙筆、口語	【性別平等】在學習競賽中展現公平競爭精神。
26	19	期末定期評量	1-Ⅱ, 2-Ⅱ, 3-Ⅱ, 4-Ⅱ	全	檢核本學期各項學習指標。	1. 整合閱讀：閱讀包含多種句型的複習短文。 2. 謎語挑戰：透過特徵描述進行動物能力謎語。 3. 自我介紹：書寫並分享自我能力介紹短文。 4. 複習歌謠：學習 Can You Draw? 歌曲。	定期評量、紙筆	無
27	20	期末成果發表會與總結	2-Ⅱ-6, 6-Ⅱ-2	B-Ⅱ-1	展示學期學習成果並完成總結評價。	1. 劇本朗讀：分組進行讀者劇場劇本練習。 2. 配音表演：為動畫角色配音展現情緒語調。 3. 學習檢核：完成 Let's Write 讀寫統整。 4. 總結評量：進行學期學習成果總驗收。	觀察評量、活動評量	【閱讀素養】發展詮釋與反思文本能力。
28	21	休業式	
