### TABLE 1 28x11
1	教材版本	何嘉仁 Super Fun	實施年級 (班級/組別)	四年級	教學節數	每週( 1 )節。
2	課程目標	語音與拼讀能力：能聽辨並唸讀印刷體大小寫字母，熟練相似子音（b/p, d/t, g/c, v/f, z/s）的辨識與字母拼讀規則，達到看字能讀、聽音能拼之初步應用。 生活溝通實務：能聽辨與唸讀關於家庭成員、職業、房間位置及動物等主題之單字與核心句型，並能在適當的生活情境中進行簡易的詢問與應答。 學習策略運用：透過數位工具（電子書）與非語言訊息（情境圖、肢體動作），建立觀察、分析與歸納的邏輯思考策略，並能透過音節計數強化字詞記憶。 文化理解與價值：認識萬聖節與國際寵物文化，理解各國節慶習俗與職業多樣性，培養跨文化尊重及對生命關懷的態度。 團隊合作素養：在小組讀劇、口說活動及遊戲中展現合宜的人際溝通態度，並能與同儕協力完成學習任務與成果發表。
3	領域核心素養	英-E-A1： 具備認真專注特質及良好學習習慣，嘗試運用學習策略強化英語能力。 英-E-A2： 具備理解簡易英語文訊息能力，能運用基本邏輯思考提升學習效能。 英-E-B1： 具備入門聽說讀寫能力，能運用所學字詞句型進行簡易日常溝通。 英-E-C2： 積極參與課內小組學習活動，培養團隊合作精神。
4	議題融入	閱讀素養教育、生涯規劃教育、品德教育、家庭教育、國際教育、環境教育、性別平等教育、交通安全教育
5	課 程 架 構
6	教學進度 (週次)	教學單元名稱	學習重點	學習目標	學習活動	評量方式	融入議題 內容重點
17	10	Topic 1 Mid-term Review	7-Ⅱ-1 善用預習、複習強化學習效果。	Ab-Ⅱ-1 子音、母音及其組合。	能熟練運用 Topic 1 所有核心單字與句型。	1. 無聲表演：各組以默劇呈現故事讓同學搶答對話。 2. 句型PK：運用電子書閃示卡進行綜合練習。 3. 歌謠律動：複習 Review 1 的重點歌謠。	觀察評量、活動評量	【性別平等】在課堂分組活動中展現平等互動與合作。
18	11	Phonics Fun 3: g/c	1-Ⅱ-2 能聽辨子音、母音及其基本的組合。	Ab-Ⅱ-1 子音、母音及其組合。	能聽辨並唸讀 g, c 發音及其拼讀字。	1. 發音練習：辨別 [g] 與 [k] 差異。 2. 單字建構：拼讀 gap, cap 等發音字。 3. 韻文吟唱：配合電子書節奏進行發音練習。	觀察評量、口語評量	【閱讀素養】學習學科基礎知識應具備的字詞。
19	12	Phonics Fun 4: v/f	5-Ⅱ-4 能運用拼讀規則讀出英文字詞。	Ab-Ⅱ-4 字母拼讀規則。	能聽辨並唸讀 v, f 發音及其拼讀字。	1. 發音導入：引導辨識 [v] 與 [f] 音。 2. 拼讀比較：練習 van, fan 等相似音組拼讀。 3. 聽力測驗：完成習作相關聽辨練習。	口語評量、紙筆評量	【閱讀素養】認識一般生活情境中的字詞彙。
20	13	Phonics Fun 5: z/s	1-Ⅱ-6 能聽辨句子的節奏。	Ab-Ⅱ-4 字母拼讀規則。	能聽辨並唸讀 z, s 發音及其拼讀字。	1. 發音核心：辨別有聲子音 [z] 與無聲子音 [s]。 2. 單字應用：拼讀 zip, sip 等字例。 3. 綜合複習：完成 Phonics Review 練習。	觀察評量、紙筆評量	【閱讀素養】培養喜愛閱讀的態度。
21	14	Topic 2: Where's the King? (Story)	7-Ⅱ-2 能妥善運用非語言訊息幫助學習。	Ac-Ⅱ-2 簡易的生活用語。	能理解故事脈絡並學會詢問位置。	1. 情境預測：引導觀察 Theme Page 預測故事情節。 2. 故事導讀：逐句講解對話與生活用語含意。 3. 對話勾選：依故事內容完成判讀練習。	觀察評量、活動評量	【品德發展】培養溝通合作與和諧人際關係。
22	15	Topic 2 Lesson 3: Rooms & Location	1-Ⅱ-7 能聽懂課堂中所學的字詞。	B-Ⅱ-1 所學字詞及句型的生活溝通。	能學會各類房間名稱並詢問所在位置。	1. 房間單字：利用電子書認識廚房、臥室等空間。 2. 關鍵搜索：透過繪圖與位置問答進行互動遊戲。 3. 句型應用：練習 Where are you? 及 I'm in the...。	觀察評量、口語評量	【交通安全】延伸討論家中及學校環境的避難逃生動線規劃。
23	16	Topic 2 Lesson 3: Rooms & Location	4-Ⅱ-4 能臨摹抄寫課堂中所學的句子。	D-Ⅱ-1 所學字詞的簡易歸類。	能區分並運用 who, what, where 等疑問詞。	1. 位置分配：使用附件貼紙安排人物並進行問答。 2. 邏輯思考：分析歸納 who/what/where 使用情境。 3. 按圖索驥：利用疑問詞引導尋找故事頁碼。	活動評量、紙筆評量	【家庭教育】了解家庭生活的作息與空間分配。
24	17	Topic 2 Lesson 4: Animals	2-Ⅱ-3 能說出課堂中所學的字詞。	B-Ⅱ-1 第二階段所學字詞句型溝通。	能運用 Do you have a...? 詢問寵物擁有情形。	1. 動物單字：學習 dog, cat, turtle 等常見寵物。 2. 寵物大觀：進行 Is it a...? 的猜單字遊戲。 3. 調查活動：透過 Ask and Check 進行同學寵物調查。	觀察評量、口語評量	【環境教育】了解動物與人類生活的關係及生態保育。
25	18	Topic 2 Lesson 4: Animals	3-Ⅱ-3 能看懂課堂中所學的句子。	D-Ⅱ-1 所學字詞的簡易歸類。	能認識不同國家的寵物文化(英國女王)。	1. 趣味知識：介紹英國女王與其寵物的關係。 2. 生命教育：討論飼養寵物的責任感與甘苦談。 3. 書寫整合：完成動物單字與句型的拼讀練習。	活動評量、紙筆評量	【國際教育】尊重多元文化對待動物的態度。
26	19	Review 2	9-Ⅱ-1 能夠將所學字詞作簡易歸類。	B-Ⅱ-1 所學字詞及句型的生活溝通。	能運用 Brace Map 歸類整理單元資訊。	1. 閱讀擷取：從短文中標註關鍵字並回答問題。 2. 短文寫作：依提示完成個人寵物介紹短文。 3. 歌謠律動：演唱 Where's He? 鞏固位置句型。	活動評量、紙筆評量	【家庭教育】透過家庭寵物話題增進家人間的情感。
27	20	Final Review & Performance	7-Ⅱ-1 善用預習、複習強化學習效果。	B-Ⅱ-1 第二階段所學句型溝通。	能整合學期所學進行口說與讀劇演出。	1. 創意配音：為故事中沒有台詞的人物設計對話。 2. 讀者劇場：練習劇本台詞並搭配語調與情感演出。 3. 成果展示：各組輪流上台分享與表演學期重點。	活動評量、口語評量、紙筆評量	【性別平等】在成果表演中尊重不同性別的表現特色與差異。
28	21	休業式	

### TABLE 2 28x11
1	教材版本	何嘉仁 Super Fun	實施年級 (班級/組別)		教學節數	每週( 1 )節。
2	課程目標	能聽辨短母音與長母音的差異，並運用字母拼讀法唸讀不同母音音組所組成的字詞。 能聽辨、唸讀生活用語及教室用語，連結生活情境，培養基本對話能力。 能聽辨、唸讀各單元的單字與句型，了解使用情境及語意，並應用於日常生活溝通。 能夠使用適當的英語學習策略，強化自主學習能力。 能夠與團隊合作，從雙向互動與討論的過程中，提升思辨與解決問題的能力。 能認識臺灣及其他國家的風俗文化，實現自我認同與尊重他人。
3	領域核心素養	英-E-A1： 具備認真專注特質及良好學習習慣，嘗試運用基本學習策略。 英-E-A2： 具備理解簡易英語文訊息能力，能運用基本邏輯思考策略提升學習效能。 英-E-B1： 具備入門聽說讀寫能力，能運用所學字詞句型進行簡易日常溝通。 英-E-C2： 積極參與課內英語文小組學習活動，培養團隊合作精神。
4	議題融入	
5	課 程 架 構
6	教學進度 (週次)	教學單元名稱	學習重點	學習目標	學習活動	評量方式	融入議題 內容重點
7	教學進度 (週次)	教學單元名稱	學習表現	學習內容	學習目標	學習活動	評量方式	融入議題 內容重點
8	1	Phonics Fun 1: a/a_e	1-II-2 能聽辨子音、母音組合。	Ab-II-4 字母拼讀規則。	辨識與拼讀短母音 a 與長母音 a_e 之單字。	1. 發音教學：辨別 [æ] 與 [e] 差異。 2. 拼讀練習：練習 cap/cape, hat/hate。 3. 韻文吟唱：配合電子書複誦。	觀察、口語、紙筆	【閱讀素養】認識生活情境字詞。
9	2	Phonics Fun 2: e/ee	2-II-2 能唸出英語語音。	Ab-II-1 子音、母音組合。	辨識與拼讀短母音 e 與長母音 ee 之單字。	1. 音素辨覺：辨別 [ɛ] 與 [i] 差異。 2. 拼讀建構：練習 ten/teen, red/reed。 3. 習作鞏固：完成聽力與閱讀練習。	觀察、口語、活動	【閱讀素養】培養喜愛閱讀態度。
10	3	Topic 1 Story Time (I)	1-II-9 能聽懂簡易生活用語。	Ac-II-2 簡易生活用語。	理解故事大意並辨識故事中職業。	1. 封面導覽：分享學習期望。 2. 故事聆聽：觀看電子書並討論大意。 3. 角色分析：觀察故事中出現的職業。	觀察、活動、口語	【品德教育】關懷行善與環境維護。
11	4	Topic 1 Story Time (II)	5-II-2 能辨識相對應文字。	B-II-1 生活溝通應用。	運用故事句型進行提問與回答。	1. 閱讀比賽：輪流唸讀故事句子。 2. 因果配對：完成 Read and Match 練習。 3. 互動簽名：練習 What/Where 問句。	觀察、活動、紙筆	【性別平等】尊重不同職業別的性別。
12	5	T1 Lesson 1: Toys (I)	2-II-3 能說出課堂所學字詞。	D-II-1 所學字詞簡易歸類。	聽辨並唸讀玩具單字與重點句型。	1. 單字閃示：運用電子書學習玩具單字。 2. 句型導入：練習 What are these/those?。 3. 過關斬將：分組進行單字句型猜答。	觀察、口語、活動	【數位教學】運用電子書閃示卡互動。
13	6	T1 Lesson 1: Toys (II)	4-II-4 能臨摹抄寫句子。	Aa-II-2 印刷體大小寫書寫。	掌握名詞單複數書寫規則與應用。	1. 影子猜物：觀察影子並以句型問答。 2. 筆記學習：歸納名詞單複數 (s/es) 用法。 3. 名詞畫作：繪製物品並寫下 It's/They're。	觀察、紙筆、口語	【閱讀素養】辨識基礎學科字詞。
14	7	T1 Lesson 2: Positions (I)	1-II-10 能聽懂簡易句型。	Ac-II-2 簡易生活用語。	運用介係詞描述物品所在位置。	1. 單字拼讀：學習位置單字及物品單字。 2. 空間問答：練習 Where's/Where are...?。 3. 聽音畫位：根據教師描述畫出物品位置。	觀察、口語、活動	【安全教育】辨識環境位置安全性。
15	8	T1 Lesson 2: Positions (II)	6-II-2 積極參與課堂練習。	B-II-1 生活溝通。	理解物品回收利用價值與環保。	1. 聽力練習：完成課本位置聽力測驗。 2. 趣味知識：討論玩具再利用的方式。 3. 跨領域連結：連結社會科資源選擇。	觀察、活動、紙筆	【環境教育】玩具再利用與資源節約。
16	9	Review 1	9-II-1 能將字詞簡易歸類。	D-II-1 字詞簡易歸類。	整合 Topic 1 單字句型進行自我介紹。	1. 短文閱讀：透過電子書閱讀並注意語調。 2. 差異尋找：比較圖片差異並描述位置。 3. 歌謠吟唱：唱 What Are These? 歌謠。	觀察、口語、活動	【數位教學】數位閱讀與資訊整合。
17	10	Mid-term Review	7-II-1 善用預習複習策略。	B-II-1 生活溝通。	熟練第一單元至複習一之所有內容。	1. 我演你配：分組進行故事角色扮演演出。 2. 搶答大賽：運用電子書閃示卡進行競賽。 3. 綜合評量：診斷學習落後點並補強。	觀察、口語、活動	【性別平等】角色扮演打破性別刻板。
18	11	Phonics Fun 3&4	1-II-2 能聽辨長短母音組合。	Ab-II-4 拼讀規則。	辨識 i/i_e 與 o/o_e 之發音。	1. 拼讀對照：辨別 [I]/[aI] 與 [ɑ]/[o]。 2. 字例演練：拼讀 kite, kit, note, not。 3. 聽力核對：完成 Listen, Match 練習。	觀察、口語、活動	【閱讀素養】培養基礎學科字詞。
19	12	Phonics Fun 4&5	5-II-4 能運用拼讀規則。	Ab-II-4 拼讀規則。	辨識 u/u_e 並複習所有長短母音。	1. 母音辨析：辨別 [ʌ] 與 [ju] 差異。 2. 拼讀練習：練習 cut/cute, tub/tube。 3. 綜合複習：完成習作 Phonics Review。	觀察、口語、紙筆	【數位教學】使用電子書發音音檔練習。
20	13	Topic 2 Story Time	1-II-5 能聽辨片語重音。	Cc-II-1 生活方式變遷。	理解 Topic 2 故事意涵與社會關懷。	1. 情境觀察：描述圖片地點、人物活動。 2. 故事解析：教師逐句講解故事脈絡。 3. 問題討論：分組討論故事中的問題解決。	觀察、口語、紙筆	【社會領域】關懷環境與生活變遷。
21	14	T2 Lesson 3: Time (I)	2-II-3 能說出課堂所學字詞。	Ab-II-2 單多音節重音。	正確詢問並回答時間。	1. 時間單字：學習點鐘與時間相關詞彙。 2. 幸運時鐘：猜時間遊戲 (Later/Earlier)。 3. 句型練習：What time is it? It's...。	觀察、口語、活動	【交通安全】遵守交通號誌與時間。
22	15	T2 Lesson 3: Time (II)	1-II-3 能聽辨單多音節。	Ab-II-2 重音標示。	掌握單字重音位置與時間管理。	1. 重音辨覺：觀察電子書重音標示並拍手。 2. 誤會消除：討論漫畫中因時間產生的誤會。 3. 看見重音：分組閃示字卡並以手勢標重音。	觀察、口語、紙筆	【生涯規劃】認識特質與時間管理。
23	16	T2 Lesson 4: Food (I)	2-II-6 能以正確發音對話。	B-II-1 生活溝通。	表達對食物的喜好並進行調查。	1. 食物單字：學習各類食物英文名稱。 2. 喜好問答：Do you like...? Yes/No...。 3. 小小調查員：調查同學對指定食物的喜好。	觀察、口語、活動	【健康領域】了解食物種類與營養。
24	17	Culture: Dragon Boat Festival	8-II-2 了解國內主要節慶。	C-II-2 節慶習俗。	認識端午節習俗與飲食均衡。	1. 習俗教學：認識粽子、龍舟與習俗。 2. 均衡菜單：設計端午節健康飲食菜單。 3. 龍舟實作：動手摺紙龍舟並進行比賽。	觀察、活動、口語	【藝術領域】民俗活動與物件觀察。
25	18	T2 Lesson 4: Food (II)	5-II-3 能正確速度朗讀。	B-II-1 生活溝通應用。	理解食物里程概念與環保飲食。	1. 食物里程：計算牛奶運送的時間與成本。 2. 減碳方案：討論並記錄減碳生活行動。 3. 調查分享：各組分享環保飲食討論成果。	觀察、活動、紙筆	【交通安全】運輸工具對環境的影響。
26	19	Review 2	3-II-3 能看懂課堂句子。	Aa-II-1 角色發展影響。	整合時間與活動描述自己的作息。	1. 短文擷取：閱讀 Kate 的作息並填入時間。 2. 自我設計：繪製自己的作息表並組內分享。 3. 歌謠複習：唱 What Time Is It?。	觀察、口語、紙筆	【性別平等】尊重人我差異與角色省思。
27	20	Final Review & Project	1-II-4 能聽辨句子語調。	B-II-1 生活溝通。	整合本學期所學並進行創意呈現。	1. 故事再生：隨機抽紙籤進行故事改編。 2. 讀者劇場：分組朗讀音樂劇劇本。 3. 成果發表：各組上台進行創意對話發表。	觀察、活動、口語	【數位教學】運用電子書進行總複習。
28	21	休業式	
